dari_term,english_term,latin_term,abbreviation,preferred_form,forbidden_forms,accepted_variants,source_authority,usage_notes,first_appearance,decision,confidence
حجره,Cell,,,حجره (Cell),سلول;یاخته,,"Afghan MoE textbook, Biology Grade 7 (moe.gov.af, Kabul, 1398 h.s.) — «حجره را کوچکترین واحد ساختمانی و وظیفوی تعریف کرد»؛ «مایکروسکوپ … برای اولین بار حجرات کارک را … زیر مایکروسکوپ مشاهده نمود»","CANONICAL. Afghan Dari uses حجره for Cell; plural حجرات. Confirmed by MOHE Biology curriculum («حجره نباتی»), خاتم النبیین histology text, and AfghanVet («در کشور ما افغانستان ... واژه حجره به عوض سلول به مفهوم Cell به کار گرفته شده است»). سلول is the Iranian-Persian standard and is prohibited. NEVER list «سل» as forbidden — it is a prefix of both حجره and سلول.",Ch01,AFGHAN STANDARD,HIGH
حجرات,Cells,,,حجرات (Cells),سلول‌ها,,"Afghan MoE textbook, Biology Grade 7 (moe.gov.af, Kabul, 1398 h.s.) — «انواع مختلف حجرات»، «مقایسه حجرات حیوانی و نباتی»",Plural of حجره. Use انساج for the plural of نسج.,Ch01,AFGHAN STANDARD,HIGH
حجروی,Cellular,,,حجروی (Cellular),سلولی,,"Afghan MoE textbook, Biology Grade 7 (moe.gov.af, Kabul, 1398 h.s.) — «غشای حجروی»، «تنظیم حجروي»، «نظریۀ حجروی»",Adjective from حجره. Also used in the official MOHE book title «معافیت حجروی و مالیکولی».,Ch01,AFGHAN STANDARD,HIGH
بین‌حجروی,Intercellular,,,بین‌حجروی (Intercellular),بین‌سلولی,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit.,Attested in Afghan Pashto/Dari teaching («بین الحجروي مسافه»).,Ch04,AFGHAN STANDARD,MEDIUM
خارج‌حجروی,Extracellular,,,خارج‌حجروی (Extracellular),خارج‌سلولی,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit.,,Ch02,AFGHAN STANDARD,MEDIUM
درون‌حجروی,Intracellular,,,درون‌حجروی (Intracellular),درون‌سلولی,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit.,,Ch02,AFGHAN STANDARD,MEDIUM
نسج,Tissue,,,نسج (Tissue),بافت,,"Afghan MoE textbook, Biology Grade 7 (moe.gov.af, Kabul, 1398 h.s.) — «انساج، انساج نباتی / انساج حیوانی»؛ S5 «نسج منضم»","CANONICAL. Afghan Dari uses نسج (plural انساج). Confirmed by MOHE Biology curriculum («انواع انساج نباتی»), the خاتم النبیین histology text, and the Scribd Afghan lecture «Connective Tissue نسج منضم». بافت is the Iranian-Persian standard and is prohibited.",Ch01,AFGHAN STANDARD,HIGH
انساج,Tissues,,,انساج (Tissues),بافت‌ها;بافت‌های;نسج‌ها;نسج‌های,,"Afghan MoE Biology Grade 7 (moe.gov.af, Kabul 1398) — «سطوح تنظیم در موجودات زنده، انساج، انساج نباتی»",Afghan plural of نسج. The plural construct is «انساجِ».,Ch01,AFGHAN STANDARD,HIGH
نسج منضم,Connective tissue,,,نسج منضم (Connective tissue),بافت پیوندی;بافت رابط;بافت همبند,,"Afghan faculty histology text: خاتم النبیین University, «هستولوژی تئوری ۲» (muslimuniversity.edu.af) — «نسج منضم» (Afghan connective-tissue teaching); ME7 «انساج»","CANONICAL, user-mandated and independently confirmed by an Afghan histology lecture titled «Connective Tissue نسج منضم» and by the خاتم النبیین text («محل اصلی WBC در نسج منضم است»).",Ch01,AFGHAN STANDARD,HIGH
نسج اپیتلیال,Epithelial tissue,,,نسج اپیتلیال (Epithelial tissue),بافت پوششی;بافت اپیتلیال;بافت پوششی,,"Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit. Afghan faculty histology text: خاتم النبیین University, «هستولوژی تئوری ۲» (muslimuniversity.edu.af) uses «اپیتلیوم» unattached.",Afghan teaching uses اپیتلیوم as the noun; the tissue is نسج اپیتلیال.,Ch01,AFGHAN STANDARD,MEDIUM
هستولوژی,Histology,,,هستولوژی (Histology),بافت شناسی;بافت‌شناسی,,Afghan MoPH official recruitment register (moph.gov.af) — «هستولوژی/هستوپتالوژی»,The official course name in the Afghan medical curriculum (kateb.edu.af: «Histology (1) · هستولوژی · 77005»).,Ch01,AFGHAN STANDARD,HIGH
سایتولوژی,Cytology,,,سایتولوژی (Cytology),یاخته‌شناسی;سلول‌شناسی,,Afghan MoPH official recruitment register (moph.gov.af) — «سایتولوژی»,Used by the Afghan MoPH job description («پتالوژی اناتومیک (هستولوژی/هستوپتالوژی، سایتولوژی)»).,Ch01,AFGHAN STANDARD,HIGH
پتالوژی,Pathology,,,پتالوژی (Pathology),پاتولوژی;آسیب‌شناسی,,Afghan MoPH official recruitment register (moph.gov.af) — «پتالوژی اناتومیک (هستولوژی/هستوپتالوژی، سایتولوژی)»,Afghan MoPH and MoHE use پتالوژی; the Kabul medical curriculum lists «Pathology (1) · پتالوژی».,Ch01,AFGHAN STANDARD,HIGH
هستوپتالوژی,Histopathology,,,هستوپتالوژی (Histopathology),هیستوپاتولوژی;بافت‌آسیب‌شناسی,,Afghan MoPH official recruitment register (moph.gov.af) — «هستوپتالوژی»,Afghan MoHE job-advert source list names «بست هستوپتالوژی پوهنحی طب».,Ch01,AFGHAN STANDARD,HIGH
اناتومی,Anatomy,,,اناتومی (Anatomy),کالبدشناسی;تشریح,,"Afghan MoHE Biology curriculum, «بیولوژی نوی نصاب» (logu.edu.af) and Afghan medical-curriculum course lists (kateb.edu.af) — «اناتومی»",Afghan medical curriculum: «Anatomy (1) · اناتومی».,Ch01,AFGHAN STANDARD,HIGH
فزیولوژی,Physiology,,,فزیولوژی (Physiology),فیزیولوژی,,"TolAfghan (tolafghan.com), «فزیولوژی حجره» — Afghan cell-physiology text; Afghan medical-curriculum course lists (kateb.edu.af) — «فزیولوژی»","Afghan curriculum spells it فزیولوژی (ز not ز-ی); both are heard, this is the book standard.",Ch01,AFGHAN STANDARD,HIGH
طب,Medicine (discipline),,,طب (Medicine (discipline)),پزشکی,,"Afghan MoPH register (moph.gov.af) and Afghan medical-curriculum titles (kateb.edu.af, طب معالجوی) — «طب»",Afghan usage: «فاکولته طب»، «طب معالجوی»، «مرکز طبی». پزشکی is the Iranian form.,Ch01,AFGHAN STANDARD,HIGH
داکتر,Doctor / physician,,,داکتر (Doctor / physician),پزشک,,Kabul University of Medical Sciences — kums.edu.af news bulletin «دیپارتمنت فزیوتراپی در شفاخانه تدریسی علی آباد پوهنتون علوم طبی کابل طی محفلی افتتاح شد» (۱۴۰۱/۹/۳۰) — «… شماری از داکتران و استادان امروز … افتتاح شد»,Afghan forms داکتر and دوکتور both occur; داکتر is the book standard.,Ch01,AFGHAN STANDARD,HIGH
