dari_term,english_term,definition_dari,preferred_form,forbidden_forms,first_appearance
مدیریت,Management,سامان دادن منابع و به‌کارگیری آن‌ها برای رسیدن به هدف از طریق دیگران,مدیریت,,پیوست 1 / سراسر کتاب
مدیر,Manager,کسی که مسؤول نتیجهٔ کار یک واحد است,مدیر,,پیوست 1 / سراسر کتاب
سرپرست,Supervisor,کسی که کار روزمرهٔ کارمندان را هدایت و پیگیری می‌کند,سرپرست,,پیوست 1 / سراسر کتاب
کوآردیناتور,Coordinator,هماهنگ‌کنندهٔ میان واحد‌ها، شرکا یا سطوح متفاوت,کوآردیناتور,,پیوست 1 / سراسر کتاب
رهبری,Leadership,نفوذ بر مردم برای رسیدن به هدف مشترک,رهبری,,پیوست 1 / سراسر کتاب
کارایی,Efficiency,درست انجام دادن کار با کمترین مصرف منابع,کارایی,,پیوست 1 / سراسر کتاب
اثربخشی,Effectiveness,انجام دادن کار درست و رسیدن به نتیجهٔ مورد نظر,اثربخشی,,پیوست 1 / سراسر کتاب
پلان‌گذاری,Planning,تعیین نتیجهٔ مطلوب و مسیر رسیدن به آن,پلان‌گذاری,,پیوست 1 / سراسر کتاب
پلان کاری,Workplan,جدول فعالیت‌ها با مسئول، زمان و منابع,پلان کاری,,پیوست 1 / سراسر کتاب
هدف,Goal,نتیجهٔ کلانی که سازمان به‌سوی آن حرکت می‌کند,هدف,,پیوست 1 / سراسر کتاب
هدف جزئی,Objective,هدف مشخص، اندازه‌پذیر و زمان‌دار,هدف جزئی,,پیوست 1 / سراسر کتاب
استراتژی,Strategy,انتخاب مسیر اصلی برای رسیدن به هدف,استراتژی,,پیوست 1 / سراسر کتاب
فعالیت,Activity,کار مشخصی که در پلان اجرا می‌شود,فعالیت,,پیوست 1 / سراسر کتاب
محصول,Output,نتیجهٔ مستقیم فعالیت (کار انجام‌شده),محصول,,پیوست 1 / سراسر کتاب
نتیجه,Outcome,تغییری که در وضعیت مردم یا سازمان رخ می‌دهد,نتیجه,,پیوست 1 / سراسر کتاب
شاخص,Indicator,معیار سنجش تغییر یا عملکرد,شاخص,,پیوست 1 / سراسر کتاب
هدف کمی,Target,مقدار مورد انتظار یک شاخص در زمان معین,هدف کمی,,پیوست 1 / سراسر کتاب
سازماندهی,Organizing,ساختن ساختار کار و تقسیم مسئولیت,سازماندهی,,پیوست 1 / سراسر کتاب
ساختار سازمانی,Organizational Structure,چارچوب واحد‌ها، پاسخ‌دهی و هماهنگی,ساختار سازمانی,,پیوست 1 / سراسر کتاب
زنجیرهٔ فرمان,Chain of Command,خط راپور‌دهی و پاسخ‌دهی در سازمان,زنجیرهٔ فرمان,گزارش,پیوست 1 / سراسر کتاب
حوزهٔ نظارت,Span of Control,شمار کارمندانی که یک مدیر مستقیماً سرپرستی می‌کند,حوزهٔ نظارت,,پیوست 1 / سراسر کتاب
تمرکز,Centralization,گرفتن تصمیم‌ها در سطح مرکزی,تمرکز,,پیوست 1 / سراسر کتاب
عدم تمرکز,Decentralization,واگذاری تصمیم‌ها به سطح صحرایی/میدانی,عدم تمرکز,,پیوست 1 / سراسر کتاب
تقسیم بندی واحد‌ها,Departmentalization,گروه‌بندی کار بر اساس وظیفه، جغرافیه یا پروژه,تقسیم بندی واحد‌ها,,پیوست 1 / سراسر کتاب
ساختار وظیفوی,Functional Structure,تقسیم واحد‌ها بر اساس تخصص,ساختار وظیفوی,,پیوست 1 / سراسر کتاب
ساختار پروژه‌ای,Project Structure,تقسیم بر اساس پروژه‌ها,ساختار پروژه‌ای,,پیوست 1 / سراسر کتاب
