dari_term,english_term,latin_term,abbreviation,preferred_form,forbidden_forms,source_authority,usage_notes,first_appearance
مراقبت پیش از ولادت,Antenatal Care,,ANC,مراقبت پیش از ولادت,,Afghan clinical/administrative usage (see پیوست ۵),«مراقبت بارداری»؛ در راپور، به ANC یا «معاینه زن باردار» هم می‌توان اشاره کرد,
مراقبت بعد از ولادت,Postnatal Care,,PNC,مراقبت بعد از ولادت,,Afghan clinical/administrative usage (see پیوست ۵),—,
بخش سرپایی,Out-Patient Department,,OPD,بخش سرپایی,,Afghan clinical/administrative usage (see پیوست ۵),«درمانگاه» در معنی OPD نادرست است,
مرکز صحی اساسی,Basic Health Center,,BHC,مرکز صحی اساسی,مرکز بهداشتی,Afghan clinical/administrative usage (see پیوست ۵),«مرکز بهداشتی» (ایرانی),
مرکز صحی جامع,Comprehensive Health Center,,CHC,مرکز صحی جامع,,Afghan clinical/administrative usage (see پیوست ۵),—,
مرکز صحی فرعی,Sub Health Center,,SHC,مرکز صحی فرعی,,Afghan clinical/administrative usage (see پیوست ۵),—,
خانه صحی / پست صحی,Health Post,,HP,خانه صحی / پست صحی,خانه بهداشت,Afghan clinical/administrative usage (see پیوست ۵),«خانه بهداشت» (ایرانی),
شفاخانه ولسوالی,District Hospital,,DH,شفاخانه ولسوالی,بیمارستان شهرستان,Afghan clinical/administrative usage (see پیوست ۵),«بیمارستان شهرستان» (ایرانی),
شفاخانه ولایتی,Provincial Hospital,,PH,شفاخانه ولایتی,بیمارستان استانی,Afghan clinical/administrative usage (see پیوست ۵),«بیمارستان استانی» (ایرانی),
تیم صحی سیار,Mobile Health Team,,MHT,تیم صحی سیار,,Afghan clinical/administrative usage (see پیوست ۵),—,
کارمند صحی جامعه (صحیار),Community Health Worker,,CHW,کارمند صحی جامعه (صحیار),بهورز,Afghan clinical/administrative usage (see پیوست ۵),«بهورز» (ایرانی),
قابله,Midwife,,,قابله,ماما,Afghan clinical/administrative usage (see پیوست ۵),«ماما» (ایرانی),
شورای صحی,Health Shura / Health Council,,,شورای صحی,انجمن بهداشت,Afghan clinical/administrative usage (see پیوست ۵),«انجمن بهداشت» (ایرانی),
ریاست صحت عامه ولایت,Provincial Public Health Directorate,,PPHD,ریاست صحت عامه ولایت,اداره بهداشت استان,Afghan clinical/administrative usage (see پیوست ۵),«اداره بهداشت استان» (ایرانی),
وزارت صحت عامه,Ministry of Public Health,,MoPH,وزارت صحت عامه,وزارت بهداشت,Afghan clinical/administrative usage (see پیوست ۵),«وزارت بهداشت» (ایرانی),
کمیته هماهنگی صحی ولایت,Provincial Public Health Coordination Committee,,PPHCC,کمیته هماهنگی صحی ولایت,,Afghan clinical/administrative usage (see پیوست ۵),—,
بسته خدمات صحی اساسی,Basic Package of Health Services,,BPHS,بسته خدمات صحی اساسی,,Afghan clinical/administrative usage (see پیوست ۵),—,
بسته خدمات اساسی شفاخانه‌ای,Essential Package of Hospital Services,,EPHS,بسته خدمات اساسی شفاخانه‌ای,,Afghan clinical/administrative usage (see پیوست ۵),—,
سیستم معلومات مدیریت صحی,Health Management Information System,,HMIS,سیستم معلومات مدیریت صحی,,Afghan clinical/administrative usage (see پیوست ۵),—,
ثبت (دفتر ثبت مریضان),Register,,,ثبت (دفتر ثبت مریضان),,Afghan clinical/administrative usage (see پیوست ۵),منبع اصلی معلومات (Source Document),
کارت ثبت موجودی,Stock Card,,,کارت ثبت موجودی,,Afghan clinical/administrative usage (see پیوست ۵),«کارت انبار» در این کتاب به کار نرفته است,
شمردن فزیکی موجودی,Physical Count,,,شمردن فزیکی موجودی,,Afghan clinical/administrative usage (see پیوست ۵),—,
مصرف متوسط ماهوار,Average Monthly Consumption,,AMC,مصرف متوسط ماهوار,,Afghan clinical/administrative usage (see پیوست ۵),—,
نقطه سفارش مجدد,Reorder Point,,,نقطه سفارش مجدد,,Afghan clinical/administrative usage (see پیوست ۵),—,
ذخیره احتیاطی,Safety Stock,,,ذخیره احتیاطی,,Afghan clinical/administrative usage (see پیوست ۵),«ذخیره امنیتی»,
کمبود دوا,Stock-out,,,کمبود دوا,,Afghan clinical/administrative usage (see پیوست ۵),«فقدان دارو»,
تاریخ انقضا,Expiry Date,,,تاریخ انقضا,,Afghan clinical/administrative usage (see پیوست ۵),«تاریخ انقضأ»؛ «تاریخ مصرف» مبهم است,
زنجیره سرد,Cold Chain,,,زنجیره سرد,,Afghan clinical/administrative usage (see پیوست ۵),—,
زمستانی‌سازی,Winterization,,,زمستانی‌سازی,,Afghan clinical/administrative usage (see پیوست ۵),—,
تدارکات,Procurement / Logistics,,,تدارکات,,Afghan clinical/administrative usage (see پیوست ۵),—,
درخواست خرید,Purchase Requisition,,PR,درخواست خرید,,Afghan clinical/administrative usage (see پیوست ۵),«درخواست خریداری»,
دارایی‌ها,Assets,,,دارایی‌ها,,Afghan clinical/administrative usage (see پیوست ۵),—,
ثبت دارایی,Asset Register,,,ثبت دارایی,,Afghan clinical/administrative usage (see پیوست ۵),—,
بودجه,Budget,,,بودجه,,Afghan clinical/administrative usage (see پیوست ۵),—,
